Reading,ReadingFurigana,ReadingKana,Occurences,ReadingFrequency,PitchPositions,Definitions
宝探し,宝[たから]探[さが]し,たからさがし,49,19013,4,"treasure hunting,treasure hunt,lucky dip,game involving finding hidden prizes from a sand box, barrel of leaves, etc."
なおさら,なおさら,なおさら,49,3680,"4,0","still more,even more,all the more,still less,even less"
居間,居[い]間[ま],いま,49,11189,2,"living room (Western style),sitting room"
よりも,よりも,よりも,49,798,,"than,in comparison to,rather than,over,above"
関口,関口,,49,39617,"0,2",Sekikuchi
土方,土[ど]方[かた],どかた,49,37901,0,"construction worker,laborer (labourer),navvy"
いいこと,いいこと,いいこと,49,1386,1,"good thing,nice thing,good excuse,good grounds,good opportunity,interjection used to impress an idea or to urge a response"
駒,駒[こま],こま,49,6450,"0,1","piece (in shogi, chess, etc.),horse,foal,bridge (of a violin, etc.)"
ケ,ケ,ケ,49,3795,0,"indicates the subject of a sentence,indicates possession,but,however,(and) yet,though,although,while,and,used after an introductory remark or explanation,regardless of ...,whether ... (or not),no matter ...,indicates a desire or hope,softens a statement,indicates doubt,indicates scorn"
居合わせる,居[い]合[あ]わせる,いあわせる,49,9786,4,to happen to be present
馬島,馬島,,49,134353,,"Bajima,Mashima,Majima,Bashima,Umashima,Umajima"
置き場,置[お]き場[ば],おきば,49,14956,0,"place to put something,storage space,storehouse,depository,repository,shed,yard"
ターゲット,ターゲット,ターゲット,49,4494,1,target
地下室,地[ち]下[か]室[しつ],ちかしつ,49,11819,2,"cellar,basement"
鵺,鵺[ぬえ],ぬえ,49,56537,"1,2","Japanese chimera,mythical creature with a monkey's head, tanuki's body, tiger's limbs, and a snake tail,White's thrush (Zoothera dauma),mysterious person,person of unknown character,enigma"
覚え,覚[おぼ]え,おぼえ,49,2410,"3,2","memory,sense,experience"
ドライバー,ドライバー,ドライバー,49,13341,"2,0","(device) driver,driver (club),screwdriver,driver (of a vehicle)"
カー,カー,カー,49,1414,1,car
元子,元子,,49,70552,1,"Haruko,Motoko,Yukiko,Masako"
傷口,傷[きず]口[ぐち],きずぐち,49,6342,0,"(opening of) a wound,(mouth of a) wound,cut"
宝物,宝[たから]物[もの],たからもの,49,4032,"0,4,5","treasure,treasured item,prized possession"
どん,どん,どん,49,1209,1,"dull,slow,stupid,dull-brained"
７人,７[しち]人[にん],しちにん,49,8938,2,seven people
巻き添え,巻[ま]き添[ぞ]え,まきぞえ,48,9709,0,"getting mixed up in,getting embroiled in,involvement,entanglement,by-blow"
避難,避[ひ]難[なん],ひなん,48,3753,1,"taking refuge,finding shelter,evacuation,escape,seeking safe haven"
運悪く,運[うん]悪[わる]く,うんわるく,48,17031,,unluckily
ポルシェ,ポルシェ,ポルシェ,48,48441,,"Porsche,Porsche,Porche,Porché"
本堂,本[ほん]堂[どう],ほんどう,48,31522,1,"main hall (of a Buddhist temple),main temple"
ヤマ,ヤマ,ヤマ,48,11734,2,"mountain,hill,mine,(mountain) forest,heap,pile,stack,mountain,protruding or high part of an object,crown (of a hat),thread (of a screw),tread (of a tire),climax,peak,critical point,guess,speculation,gamble,(criminal) case,crime,mountain climbing,mountaineering,festival float (esp. one mounted with a decorative halberd),deck (from which players draw cards),draw pile,stock,wall,wall tile,wild"
熊田,熊田,,48,66090,0,"Kumada,Kumata"
荒巻,荒[あら]巻[まき],あらまき,48,66771,"0,2","salted salmon,fish wrapped in (bamboo) leaves"
留める,留[と]める,とめる,48,5884,3,"to stop,to turn off,to park,to prevent,to suppress (a cough),to hold back (tears),to hold (one's breath),to relieve (pain),to stop (someone from doing something),to dissuade,to forbid,to prohibit,to notice,to be aware of,to concentrate on,to pay attention to,to remember,to bear in mind,to fix (in place),to fasten,to tack,to pin,to nail,to button,to staple,to detain,to keep in custody"
はめ,はめ,はめ,48,6036,2,"panel,wainscoting,wainscotting,plight,fix,bind,awkward situation,difficult situation,mess"
まえ,まえ,まえ,48,2287,1,"in front (of),before (e.g. a building),before,earlier,previously,prior,ago,(minutes) to (the hour),(the) front,frontal part,fore,head (e.g. of a line),forward,ahead,(in the) presence (of),in front (of someone),previous (e.g. page),prior (e.g. engagement),first (e.g. half),former (e.g. example),portion,helping,front (of one's body or clothing),breast (of a coat, kimono, etc.),privates,private parts,criminal record,previous conviction,(a) prior"
工作,工[こう]作[さく],こうさく,48,9051,0,"handicraft,work,construction,manufacturing,maneuvering,manoeuvering"
写メ,写[しゃ]メ,しゃメ,48,19222,0,"email with attached photos sent from a mobile phone,photo taken with a mobile phone,taking a photo with a mobile phone"
所轄,所[しょ]轄[かつ],しょかつ,48,18728,0,jurisdiction
参考,参[さん]考[こう],さんこう,48,3426,0,"reference,consultation"
化石,化[か]石[せき],かせき,48,17797,0,"petrifaction,petrification,fossilization,fossilisation,fossil"
不可解,不[ふ]可[か]解[かい],ふかかい,48,7892,2,"incomprehensible,mysterious,inexplicable,inscrutable,enigmatic,baffling"
抜き取る,抜[ぬ]き取[と]る,ぬきとる,48,10213,3,"to pull out,to draw out,to extract,to remove,to pick out,to take (a sample),to steal (the contents of something),to pilfer,to pickpocket"
コンタクト,コンタクト,コンタクト,48,8121,"1,3","contact,contact lens"
混ざる,混[ま]ざる,まざる,48,5649,2,"to be mixed,to be blended with,to associate with,to mingle with,to join"
により,により,により,48,1474,,"according to,by (means of),due to,because of"
タイル,タイル,タイル,48,19434,1,tile
何とか,何[なん]とか,なんとか,48,4509,1,"somehow,anyhow,one way or another,something,something or other,so-and-so"
桜庭,桜庭,,48,38868,,"Ouniwa,Ouba,Sakuraniwa,Sakuraba,Sarakutei,Sarakuba"
益子,益子,,48,76240,,"Masuko,Yoshiko,Mitsuko,Masune,Masugo,Ekiko"
鰐淵,鰐淵,,48,94771,,Wanibuchi
メイド,メイド,メイド,48,6785,1,maid
招待状,招[しょう]待[たい]状[じょう],しょうたいじょう,48,9685,"3,0","(written) invitation,letter of invitation"
紛れ込む,紛[まぎ]れ込[こ]む,まぎれこむ,48,8055,"4,0","to disappear into,to slip into,to be lost in,to be mixed up with"
ぬいぐるみ,ぬいぐるみ,ぬいぐるみ,48,6314,0,"stuffed toy,stuffed animal,plush toy,soft toy,cuddly toy"
前日,前[ぜん]日[じつ],ぜんじつ,48,4805,0,"previous day,day before,eve,prior day,preceding day"
見通す,見[み]通[とお]す,みとおす,48,11037,"0,2","to see without obstruction,to get an unobstructed view (of),to see through,to see into (someone's thoughts),to read (someone's feelings, intentions, etc.),to see through (e.g. someone's plans),to foresee,to predict,to forecast,to anticipate,to watch from start to finish"
そうなると,そうなると,そうなると,48,4924,,"if that is the case,if it becomes so,when it becomes so"
西澤,西澤,,48,79721,,"Nishizuwa,Nishizawa,Nishisawa,Saizawa"
演出,演[えん]出[しゅつ],えんしゅつ,48,4748,0,"direction (of a play, film, etc.),production,organization (of an event),arrangement,staging (for effect),orchestration"
模様,模[も]様[よう],もよう,48,4097,0,"pattern,figure,design,state,condition,conjecture of the current situation,the way it seems,model,pattern,example,indicates that something seems likely (e.g. rain or storm),framework,territorial framework,moyo"
幻,幻[まぼろし],まぼろし,47,3402,0,"phantom,vision,illusion,apparition,something fleeting,short-lived dream,fabled item,mythical thing,very rare thing"
死後,死[し]後[ご],しご,47,7251,1,after death
路地,路[ろ]地[じ],ろじ,47,8094,1,"teahouse garden,path through a gate or garden,alley,alleyway,lane"
連れ去る,連[つ]れ去[さ]る,つれさる,47,5795,3,"to take (someone) away,to carry off,to abduct,to kidnap"
表示,表[ひょう]示[じ],ひょうじ,47,4326,"0,1","indication,expression,showing,manifestation,demonstration,display,displaying,representation,(copyright) attribution"
嫌がらせ,嫌[いや]がらせ,いやがらせ,47,4399,0,"harassment,pestering"
照明,照[しょう]明[めい],しょうめい,47,6398,0,"illumination,lighting"
こうめい,こうめい,こうめい,47,100299,0,"Komeito (Japanese political party),fairness,openness,impartiality"
第３,第[だい]３[さん],だいさん,47,3836,1,third
あほ,あほ,あほ,47,6180,"2,1","fool,idiot,simpleton"
済み,済[ず]み,ずみ,47,2942,2,"arranged,taken care of,settled,completed,finished"
山奥,山[やま]奥[おく],やまおく,47,9132,3,"deep in the mountains,mountain recesses"
女子高生,女[じょ]子[し]高[こう]生[せい],じょしこうせい,47,5523,3,female high school student
演奏,演[えん]奏[そう],えんそう,47,5345,0,musical performance
開発,開[かい]発[はつ],かいはつ,47,2598,0,"development,exploitation (of resources)"
突入,突[とつ]入[にゅう],とつにゅう,47,3669,0,"rushing into,breaking into,storming,plunging into (war, etc.),embarking on (a new venture)"
亜紀,亜紀,,47,50703,,Asumi
あだ名,あだ名[な],あだな,47,5449,0,nickname
時効,時[じ]効[こう],じこう,47,22409,0,"statute of limitations,lapse of rights after a period of time,prescription (including acquisitive and extinctive prescription),becoming invalid or void after a set time,ageing,aging"
車掌,車[しゃ]掌[しょう],しゃしょう,47,30091,0,(train) conductor
容器,容[よう]器[き],ようき,47,11049,1,"container,receptacle,vessel,packaging"
沼,沼[ぬま],ぬま,47,8379,"2,0","marsh,swamp,wetland,bog,pond,obsession,addiction,being hooked on,getting sucked into,ugly man,retard,mentally disabled person"
あえて,あえて,あえて,47,2207,1,"purposely (of something needless, unexpected or seemingly counterproductive, etc.),daringly (doing something),deliberately,intentionally,not necessarily,not particularly,not especially,definitely not"
そうじゃなくて,そうじゃなくて,そうじゃなくて,47,2421,,"no, not like that (but like this)"
脚本,脚[きゃく]本[ほん],きゃくほん,47,11352,0,"script,screenplay,scenario"
映画館,映[えい]画[が]館[かん],えいがかん,47,8973,3,"movie theatre,movie theater,cinema"
坊っちゃん,坊[ぼ]っちゃん,ぼっちゃん,47,34576,1,"(another's) son,boy,young master,green young man from a well-to-do family,young man innocent of the ways of the world"
追い出す,追[お]い出[だ]す,おいだす,47,2504,3,"to expel,to drive out"
愛人,愛[あい]人[じん],あいじん,47,7161,0,"lover,mistress"
コーナー,コーナー,コーナー,47,4712,1,"segment (within a radio or TV program),session,column (newspaper, etc.),area,department,section,corner,bend,turn"
傷痕,傷[きず]痕[あと],きずあと,47,16803,0,scar
損ねる,損[そこ]ねる,そこねる,47,5205,3,"to harm,to hurt,to injure,to wreck,to miss one's chance to (do something),to fail to (do what one ought to have done)"
煙突,煙[えん]突[とつ],えんとつ,47,22717,0,"chimney,smokestack,funnel (of a ship),stovepipe,carrying a passenger without turning on the taximeter"
気のせい,気[き]のせい,きのせい,47,2809,,(just) one's imagination
二川,二川,,46,107229,,"Nigawa,Futatsugawa,Futagawa,Fudagawa,Futatsukawa,Futakawa"
有希子,有希子,,46,80928,1,"Yukiko,Akiko,Yūkiko,Ukiko"
生田,生田,,46,53089,,"Iwata,Ikuda,Ikeda,Ubuta,Oida,Kida,Shouda,Namata"
遠藤,遠藤,,46,22143,0,"Etō,Toodō"
レンタカー,レンタカー,レンタカー,46,27687,"3,4","car rental agency,car hire agency,hire car agency,rental car,rent-a-car,hire car,hired car"
ロープウェイ,ロープウェイ,ロープウェイ,46,54962,4,"ropeway,cableway,aerial lift,cable car"
聞き出す,聞[き]き出[だ]す,ききだす,46,4370,3,"to get (information) out of someone,to extract (information) from someone,to find out (through questioning),to begin listening (to)"
大男,大[おお]男[おとこ],おおおとこ,46,14037,3,"big man,large man,tall man,giant"
銃口,銃[じゅう]口[こう],じゅうこう,46,13287,0,"gun point,muzzle"
目星,目[め]星[ぼし],めぼし,46,11894,"1,0","objective,aim,mark"
間際,間[ま]際[ぎわ],まぎわ,46,8288,1,"the point just before ...,the point of (doing),the verge (of),the eve (of),(just before the) edge"
偽る,偽[いつわ]る,いつわる,46,7417,3,"to lie,to pretend,to feign,to falsify,to deceive,to trick"
ひき逃げ,ひき逃[に]げ,ひきにげ,46,33834,0,hit-and-run (causing personal injury)
小さい頃,小[ちい]さい頃[ころ],ちいさいころ,46,3618,,"as a child,when one was a child"
むちゃ,むちゃ,むちゃ,46,3246,1,"absurd,unreasonable,ridiculous,rash,reckless,excessive,immoderate,extreme,very,extremely,excessively"
越し,越[ご]し,ごし,46,5146,,"across,over,beyond,through,crossing,throughout (a period of time),for"
平棟,平棟,,46,172763,,Hiramune
はねる,はねる,はねる,46,6994,2,"to jump,to leap,to prance,to spring up,to bound,to hop,to break up,to close,to come to an end,to hit (e.g. to have a car hit something or someone)"
石澤,石澤,,46,125805,,"Kokusawa,Ishizawa,Ishisawa,Kokuzawa,Iwazawa"
浜,浜[はま],はま,46,13118,2,"beach,seashore,captured pieces,captured stones,Yokohama,riverbank,riverside"
お尻,お尻[しり],おしり,46,3832,0,"bidet function (for anal cleansing),bottom,buttocks"
周藤,周藤,,46,125915,1,"Sudō,Sutō,Shuufuji,Kanefuji"
１個,１[いっ]個[こ],いっこ,46,3520,1,"one (thing),one piece,one item"
坂口,坂口,,46,39758,,"Sakaguchi,Sasuguchi,Sakakuchi,Sagakuchi"
ロビー,ロビー,ロビー,46,8046,1,"lobby,lounge"
職人,職[しょく]人[にん],しょくにん,46,5190,0,"craftsman,artisan,tradesman,worker,workman"
かまいたち,かまいたち,かまいたち,46,49176,3,"cut in the skin caused by a vacuum formed by a whirlwind,mythical weasel-like creatures riding on whirlwinds and inflicting sharp, painless wounds"
ごはん,ごはん,ごはん,46,2625,1,"cooked rice,meal"
もしかすると,もしかすると,もしかすると,46,5320,1,"perhaps,possibly,maybe,by some chance"
付近,付[ふ]近[きん],ふきん,46,3451,"1,2","neighborhood,neighbourhood,vicinity,environs,surrounding area,district"
チェーン,チェーン,チェーン,46,10785,1,"chain (bicycle, measuring, tire, etc.),chain (store, hotel, etc.)"
便,便[びん],びん,46,7042,1,"flight (e.g. airline flight),trip (e.g. train trip),service,mail,post,letter,opportunity,chance"
よみがえる,よみがえる,よみがえる,46,5159,"3,0,4","to be resurrected,to be resuscitated,to be rehabilitated,to be revived,to be refreshed,to be restored,to be recalled (e.g. memories),to be brought back"
ばち,ばち,ばち,46,6733,2,"(divine) punishment,curse,retribution"
我,我[われ],われ,46,2842,0,"I,me,oneself,you,prefix indicating familiarity or contempt"
永美,永美,,46,131333,,"Eimi,Hisami,Norimi,Nagami,Tsunemi"
へんし,へんし,へんし,46,22472,0,"unnatural death,accidental death,violent death"
秋本,秋本,,46,53110,,Akimoto
２分,２[に]分[ふん],にふん,46,7285,0,two minutes
人さし指,人[ひと]さし指[ゆび],ひとさしゆび,46,32260,4,"second toe,index finger,forefinger"
クイーン,クイーン,クイーン,46,13509,2,"queen,queen,queen (chess piece)"
編集,編[へん]集[しゅう],へんしゅう,46,4412,0,"editing,compilation"
くれぐれも,くれぐれも,くれぐれも,46,3084,"3,2","repeatedly,over and over,again and again,sincerely,earnestly,wholeheartedly"
雅子,雅子,,46,55467,1,"Motoko,Utako,Kayoko,Kuniko,Takako,Tsuneko,Noriko,Masako,Miyabiko,Miyabine,Yoshiko,Wakako"
中学,中[ちゅう]学[がく],ちゅうがく,46,2349,1,"junior high school,middle school,lower secondary school"
つけ爪,つけ爪[づめ],つけづめ,46,95018,0,"artificial fingernail,fake fingernail"
運,運[うん],うん,46,2190,1,"fortune,luck,chance"
貝,貝[かい],かい,46,9609,1,"shellfish,seashell,shell"
姉貴,姉[あね]貴[き],あねき,46,13876,"1,0","elder sister,older female friend"
途切れる,途[と]切[ぎ]れる,とぎれる,46,5772,3,"to break off,to come to an end,to be interrupted,to be cut short,to pause"
なあに,なあに,なあに,46,3891,1,"what,what?,hey!"
根岸,根岸,,46,42573,1,"Kishimoto,Tanihiro,Negishi"
送信,送[そう]信[しん],そうしん,46,5373,0,"transmission,sending"
遺留品,遺[い]留[りゅう]品[ひん],いりゅうひん,46,24029,"0,2","article left behind (at a crime scene, after death, etc.)"
見当,見[けん]当[とう],けんとう,45,5346,3,"estimate,guess,conjecture,aim,direction,bearings,registration mark (printing),approximately,about,around"
ワイヤー,ワイヤー,ワイヤー,45,14866,"1,0","wire,wire rope"
小倉,小倉,,45,30925,0,"Oguwa,Kogura,Kokura,Ogura,Ogute"
ひょっとすると,ひょっとすると,ひょっとすると,45,11023,,"perhaps,maybe,possibly"
巣,巣[す],す,45,6076,"1,0","nest,rookery,breeding place,hive,den,haunt,(spider's) web"
あのさ,あのさ,あのさ,45,1575,3,"look here,I say,well,I know what,I'll tell you what,just a minute,hold on"
ライバル,ライバル,ライバル,45,3208,1,"rival,competitor,competition"
銀行強盗,銀[ぎん]行[こう]強[ごう]盗[とう],ぎんこうごうとう,45,30034,5,"bank robbery,bank robber"
レ,レ,レ,45,1106,1,"re (2nd note of a major scale in movable-do solfège),ray,D (note in the fixed-do system)"
ご協力,ご協[きょう]力[りょく],ごきょうりょく,45,4786,,"cooperation,collaboration,help,support"
優,優[ゆう],ゆう,45,8035,1,"Excellent (grade),A,superiority,excellence,gentle,graceful,elegant,skillful"
金子,金[きん]子[す],きんす,45,23366,"0,1","money,funds,gold coin"
代役,代[だい]役[やく],だいやく,45,13346,0,"substitute (actor),stand-in,fill-in,understudy,double"
積み木,積[つ]み木[き],つみき,45,36425,0,"wooden building blocks,wooden bricks,playing with building blocks,piled timber,piling up wood"
こちらこそ,こちらこそ,こちらこそ,45,1775,,it is I who should say so
しむける,しむける,しむける,45,29303,3,"to induce (someone to do something),to tempt,to act toward (someone in a certain way),to handle (men),to treat,to send,to forward to"
散らばる,散[ち]らばる,ちらばる,45,7309,0,"to be scattered about,to disperse,to be littered (with)"
ホーム,ホーム,ホーム,45,5901,1,platform
マスター,マスター,マスター,45,3611,1,"master (data),master (device),master (recording),master (of arts, science, etc.),leader,chief,head,proprietor,manager,owner,barkeeper,to master (a skill)"
お休み,お休[やす]み,おやすみ,45,2354,0,"sleep,rest,holiday,day off,absence,good night"
替える,替[か]える,かえる,45,4216,0,"to replace,to convert,to change,to exchange,to interchange,to renew,to substitute (person, staff member, player, etc.)"
６人,６[ろく]人[にん],ろくにん,45,6269,,six people
たどる,たどる,たどる,45,5162,"2,0","to follow (a road, path, etc.),to trace,to follow (a clue, scent, tracks, plot, etc.),to trace (a route, history, family tree, etc.),to retrace (e.g. one's memory),to search,to go over,to head towards (of a situation),to go in the direction of,to take (a course),to pursue (a path),to meet (a fate)"
リボン,リボン,リボン,45,6476,1,ribbon
殺人現場,殺[さつ]人[じん]現[げん]場[ば],さつじんげんば,45,30298,5,murder scene
麒麟,麒[き]麟[りん],きりん,45,44931,0,"giraffe (Giraffa camelopardalis),qilin (Chinese unicorn),horse that can ride 1000 ri in a day"
誠人,誠人,,45,87839,,"Tomohito,Masando,Masahito,Masato,Kiyoto,Shigeto"
それ以来,それ以[い]来[らい],それいらい,45,4913,,"since then,from that time,ever since"
ほな,ほな,ほな,45,6769,,"then,well then,if so"
家元,家[いえ]元[もと],いえもと,45,43350,"0,4","head of a school (of music, dance),head family of a school"
中目,中目,,45,85324,2,"Nakanome,Nakame,Nakamoku"
鹿野,鹿野,,45,66809,,"Shigano,Shikano,Kanoo"
弾み,弾[はず]み,はずみ,45,20758,0,"bounce,spring,rebound,momentum,impetus,impulse,stimulus,inertia,moment,instant,impulse,chance"
永倉,永倉,,45,71892,2,"Eikura,Eigura,Nagakura"
虎彦,虎彦,,45,141599,,Torahiko
けんか,けんか,けんか,45,2903,0,"quarrel,brawl,fight,squabble,scuffle,argument"
座長,座[ざ]長[ちょう],ざちょう,45,41680,0,"chairman,leader of a troupe,proprietor of a theatrical company"
わずか,わずか,わずか,45,3449,1,"a little,a few,small,slight,trifling,meagre,meager,narrow (margin),only,just,merely,no more than"
君ら,君[きみ]ら,きみら,45,5943,,"you guys,buddies,pals,you lot"
にしろ,にしろ,にしろ,45,1532,,"though,even if,whether ... or ..."
啄木鳥,啄木鳥[きつつき],きつつき,45,96379,2,woodpecker
および,および,および,45,4526,"0,1","and,as well as"
おうち,おうち,おうち,45,3359,0,"(my) home,your home,your family,their home,their family"
誰にも,誰[だれ]にも,だれにも,45,3043,,"by anyone,by everyone,to anyone,to everyone,in everyone,in anyone"
浜田,浜田,,45,38086,1,"Hamada,Hamata"
垂らす,垂[た]らす,たらす,45,7814,2,"to dribble,to spill,to suspend,to hang down,to slouch,to dangle"
そんなん,そんなん,そんなん,45,3452,,"such a thing,something like that"
くだる,くだる,くだる,45,1877,0,"to descend,to go down,to come down,to be handed down (of an order, judgment, etc.),to pass (of time),to surrender,to capitulate,to be less than,to be inferior to,to have the runs,to have diarrhea,to pass (in stool),to be discharged from the body,to depreciate oneself,to be humble"
支配人,支[し]配[はい]人[にん],しはいにん,45,18400,2,"manager,executive"
出会い,出[で]会[あ]い,であい,45,1996,0,"meeting,rendezvous,encounter,meeting for the first time,coming across,confluence"
それなのに,それなのに,それなのに,45,2068,3,"and yet,despite this,but even so,but even then,however,nevertheless,for all that,notwithstanding that"
１匹,１[いっ]匹[ぴき],いっぴき,45,6265,4,"two-tan bolt of cloth,one (small animal)"
ほっといて,ほっといて,ほっといて,45,3759,,"back off!,leave me alone!"
忍ばせる,忍[しの]ばせる,しのばせる,45,15279,"4,0","to conceal,to hide"
吸血鬼,吸[きゅう]血[けつ]鬼[き],きゅうけつき,45,12350,"3,4","vampire,bloodsucker"
留守電,留[る]守[す]電[でん],るすでん,45,18222,0,"answering machine,answerphone"
雅彦,雅彦,,45,59685,2,"Tadahiko,Masahiko,Masahiro"
ませんでした,ませんでした,ませんでした,45,3219,,suffix used to negate a verb in the past tense
担ぐ,担[かつ]ぐ,かつぐ,45,6525,2,"to shoulder,to carry on one's shoulder,to nominate for a position,to choose as a representative,to take (someone) for a ride,to deceive,to take in,to be caught up in superstition"
メエ,メエ,メエ,44,9735,1,"baa (sound of a sheep),meh"
はやる,はやる,はやる,44,2946,2,"to be popular,to come into fashion,to be prevalent,to spread widely (e.g. disease),to be endemic,to flourish,to thrive"
うまいこと,うまいこと,うまいこと,44,6712,,"successfully,nicely,skillfully"
初めから,初[はじ]めから,はじめから,44,5303,,from the beginning
といい,といい,といい,44,1698,,"in terms of both ... and ...,from the perspective of ... as well as ...,whether it be ... or ..."
株,株[かぶ],かぶ,44,5998,0,"one's forte,stock,share,stump,(clump of) roots,plant with attached roots or stem,strain (of bacteria, etc.),stock company,corporation,kabushiki kaisha,KK,goodwill (of a business),privilege (that comes with a role),reputation,standing,popularity"
レース,レース,レース,44,5741,1,race
おう,おう,おう,44,19518,1,"king,ruler,sovereign,monarch,tycoon,magnate,champion,master,king (of the senior player)"
雅美,雅美,,44,58864,0,"Tsuneyoshi,Masae,Masami,Masayoshi,Motomi"
和輝,和輝,,44,108690,,"Kazuki,Kazuteru"
一員,一[いち]員[いん],いちいん,44,3915,"0,2","one person,one member"
逃げ込む,逃[に]げ込[こ]む,にげこむ,44,6455,"3,0","to take refuge in,to succeed in running away"
やらかす,やらかす,やらかす,44,5283,"0,3","to do (something negative),to make (a blunder),to commit (an error),to screw up,to eat (up),to drink"
電球,電[でん]球[きゅう],でんきゅう,44,17439,0,light bulb
シェリー,シェリー,シェリー,44,39349,1,sherry
順に,順[じゅん]に,じゅんに,44,9561,0,"in order,in turn,one by one"
仁王,仁[に]王[おう],におう,44,17169,"2,1","two Deva kings,guardian gods of Buddhism who stand at the entrance of a Buddhist temple"
山小屋,山[やま]小[ご]屋[や],やまごや,44,26859,0,"mountain hut (esp. one that offers lodging to climbers and hikers),mountain cottage,mountain shanty"
ちゅう,ちゅう,ちゅう,44,7495,1,"kiss,squeak (of a mouse),with a slurp"
ホクロ,ホクロ,ホクロ,44,24465,0,"mole,lentigo,beauty mark,beauty spot"
封鎖,封[ふう]鎖[さ],ふうさ,44,7890,"0,1","blockade,lockdown,sealing off (an area),freezing (funds)"
指す,指[さ]す,さす,44,4418,1,"to point,to nominate,to select someone,to specify some person,to identify,to indicate,to point out,to play (a game of shogi),to move (a piece),to extend one's arm straight ahead (in dance)"
放火犯,放[ほう]火[か]犯[はん],ほうかはん,44,46335,,"arson,arsonist"
ホース,ホース,ホース,44,17823,1,hose
出栗,出栗,,44,173743,,Deguri
ようこそ,ようこそ,ようこそ,44,1917,1,welcome
石本,石本,,44,84054,0,"Ishimoto,Iwamoto"
警報,警[けい]報[ほう],けいほう,44,8694,"0,1","alarm,warning"
本田,本[ほん]田[でん],ほんでん,44,26041,0,rice paddy
幸,幸[さち],さち,44,8949,1,"harvest,yield,good luck,fortune,happiness"
標的,標[ひょう]的[てき],ひょうてき,44,5468,0,target
マドンナ,マドンナ,マドンナ,44,28130,2,madonna
入り込む,入[はい]り込[こ]む,はいりこむ,44,3485,3,"to go into,to come into,to penetrate,to get in,to step in (a house),to become complicated"
和田,和田,,44,27212,0,"Kazuta,Kazuko,Wadashi,Wadasaki,Nigita"
といえば,といえば,といえば,44,4178,,"speaking of ...,when it comes to ...,as for ...,if one were to say ..."
シャンデリア,シャンデリア,シャンデリア,44,23829,3,chandelier
越す,越[こ]す,こす,44,3397,0,"to pass time (e.g. a winter),to go,to come,to surpass,to be better than,to exceed,to move house,to get over (e.g. hardship),to cross over (e.g. mountain),to go across"
運び出す,運[はこ]び出[だ]す,はこびだす,44,10565,4,"to carry out (of somewhere),to transport,to take out"
羅,羅[うすもの],うすもの,43,18333,0,"lightweight fabric or clothing,silk gauze,thin silk"
照合,照[しょう]合[ごう],しょうごう,43,14299,0,"check (against),collation (with),comparison,verification"
今のところ,今[いま]のところ,いまのところ,43,2918,0,"at present,currently,so far,for now,for the time being"
黒田,黒田,,43,24809,0,"Kurida,Kuroda,Kurota"
日下,日下,,43,50945,"0,1","Kusaka,Hinoshita,Hishita,Nichishita,Nichika"
一刻も早く,一[いっ]刻[こく]も早[はや]く,いっこくもはやく,43,3586,,"immediately,as soon as possible,as quickly as possible"
何と,何[なん]と,なんと,43,3528,1,"oh my,wow,surprisingly,to my amazement,believe it or not,why, ...!,what (a) ...!,how ...!,what,how,well, ...,so, ..."
ブラック,ブラック,ブラック,43,5547,2,"black,black (coffee),exploitative (company),overly harsh,abusive,oppressive,unethical,boldface,blackface,heavy-faced type"
笛,笛[ふえ],ふえ,43,8898,0,"flute,fife,pipe,recorder,flageolet,shakuhachi,clarinet,whistle"
踏み込む,踏[ふ]み込[こ]む,ふみこむ,43,3716,3,"to step into (e.g. someone else's territory),to break into,to raid,to come to grips with,to get to the core of"
ちょうどいい,ちょうどいい,ちょうどいい,43,2130,,"just right (time, size, length, etc.)"
粉,粉[こな],こな,43,5519,1,"flour,meal,powder,dust"
やむ,やむ,やむ,43,3434,0,"to cease,to stop,to be over"
商店街,商[しょう]店[てん]街[がい],しょうてんがい,43,5974,3,"shopping district,shopping street,downtown"
門脇,門脇,,43,71184,,"Kadowaki,Kadonowaki,Monwaki"
どなる,どなる,どなる,43,11966,2,"to shout (in anger),to yell"
吹雪,吹雪[ふぶき],ふぶき,43,12157,1,"snow storm,blizzard"
てぐす,てぐす,てぐす,43,63073,"0,1","silkworm gut,catgut"
ショップ,ショップ,ショップ,43,6830,1,shop
岩田,岩田,,43,37820,,"Iwada,Iwata"
華麗,華[か]麗[れい],かれい,43,7539,0,"splendid,magnificent,gorgeous"
行き先,行[い]き先[さき],いきさき,43,4149,0,"destination,whereabouts,future,prospects"
盗み出す,盗[ぬす]み出[だ]す,ぬすみだす,43,14726,"4,0",to steal (from a person)
ミイラ,ミイラ,ミイラ,43,14617,1,mummy
客席,客[きゃく]席[せき],きゃくせき,43,11881,0,"guest seating (e.g. theater, stadium),passenger seat (e.g. taxi),audience"
チャンピオン,チャンピオン,チャンピオン,43,12860,1,champion
聞かす,聞[き]かす,きかす,43,3227,0,"to let (someone) hear,to tell (e.g. a story),to inform (of),to make (someone) listen,to make (someone) understand,to drum into (someone),to grip (someone) with skilful singing, storytelling, etc.,to hold (someone) enchanted by"
容体,容[よう]体[だい],ようだい,43,10003,"0,3","condition,state (of health),appearance"
